id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
YE1119,الظهار,Adh Dhihar,adh-dhihar-ye1119,YE1119,13.976,44.161
YE1107,المخادر,Al Makhadir,al-makhadir-ye1107,YE1107,14.141,44.206
YE1118,المشنه,Al Mashannah,al-mashannah-ye1118,YE1118,13.953,44.153
YE1111,العدين,Al Odayn,al-odayn-ye1111,YE1111,13.994,44.023
YE1101,القفر,Al Qafr,al-qafr-ye1101,YE1101,14.325,44.04
YE1104,النادره,An Nadirah,an-nadirah-ye1104,YE1104,14.062,44.484
YE1103,الرضمه,Ar Radmah,ar-radmah-ye1103,YE1103,14.21,44.553
YE1114,السبره,As Sabrah,as-sabrah-ye1114,YE1114,13.842,44.302
YE1106,السده,As Saddah,as-saddah-ye1106,YE1106,14.167,44.419
YE1115,السياني,As Saiyani,as-saiyani-ye1115,YE1115,13.823,44.215
YE1105,الشعر,Ash Sha'ir,ash-shair-ye1105,YE1105,14.033,44.368
YE1113,بعدان,Ba'dan,badan-ye1113,YE1113,13.989,44.298
YE1116,ذي السفال,Dhi As Sufal,dhi-as-sufal-ye1116,YE1116,13.832,44.071
YE1110,فرع العدين,Far' Al Odayn,far-al-odayn-ye1110,YE1110,13.958,43.79
YE1109,حزم العدين,Hazm Al Odayn,hazm-al-odayn-ye1109,YE1109,14.112,43.833
YE1108,حبيش,Hobeish,hobeish-ye1108,YE1108,14.118,44.104
YE1120,اب,Ibb,ibb-ye1120,YE1120,13.992,44.093
YE1112,جبله,Jiblah,jiblah-ye1112,YE1112,13.912,44.116
YE1117,مذيخره,Mudhaykhirah,mudhaykhirah-ye1117,YE1117,13.859,43.974
YE1102,يريم,Yarim,yarim-ye1102,YE1102,14.289,44.373
